side,movie_title,emo_types,n_nrc_categories,nrc_entropy
human,Montana Belle,2,0,0.0
ai,Montana Belle,2,6,2.5
human,Mr. Bones (I),1,4,2.0
ai,Mr. Bones (I),2,1,-0.0
human,Mulholland Falls,3,4,1.9056390622295665
ai,Mulholland Falls,2,4,2.0
human,Mumbai Express,1,2,1.0
ai,Mumbai Express,5,2,1.0
human,Neutral Port,1,0,0.0
ai,Neutral Port,2,2,1.0
human,Ngo si seoi,3,4,2.0
ai,Ngo si seoi,1,1,-0.0
human,Nick Name & the Normals,3,1,-0.0
ai,Nick Name & the Normals,2,0,0.0
human,Night of the Zombies,1,2,1.0
ai,Night of the Zombies,5,4,2.0
human,Nightmare Alley,1,2,1.0
ai,Nightmare Alley,1,1,-0.0
human,Nine Deaths of the Ninja,5,4,2.0
ai,Nine Deaths of the Ninja,2,5,2.321928094887362
human,No Man's Land (I),2,1,-0.0
ai,No Man's Land (I),4,4,1.9219280948873625
human,No Room for the Groom,4,1,-0.0
ai,No Room for the Groom,5,5,2.197159723424149
human,Norang meori 2,4,1,-0.0
ai,Norang meori 2,2,3,1.584962500721156
human,"North and South, Book II",4,3,1.584962500721156
ai,"North and South, Book II",1,1,-0.0
human,On the Old Spanish Trail,2,0,0.0
ai,On the Old Spanish Trail,2,4,2.0
human,One Six Right,3,0,0.0
ai,One Six Right,5,4,2.0
human,"One, Two, Three",5,5,2.25
ai,"One, Two, Three",2,4,2.0
human,Ooru naito rongu: Sanji,2,3,1.584962500721156
ai,Ooru naito rongu: Sanji,3,0,0.0
human,Operation Delta Force 3: Clear Target,1,3,1.584962500721156
ai,Operation Delta Force 3: Clear Target,3,4,2.0
human,Ordinary People,7,4,1.9784845935086517
ai,Ordinary People,5,2,1.0
human,Out Cold,3,1,-0.0
ai,Out Cold,2,1,-0.0
human,Pajama Party,1,0,0.0
ai,Pajama Party,3,7,2.75
human,Pamuk Prenses ve 7 cüceler,1,2,1.0
ai,Pamuk Prenses ve 7 cüceler,1,0,0.0
human,Payne,1,0,0.0
ai,Payne,3,1,-0.0
human,Pearl Harbor II: Pearlmageddon,4,4,2.0
ai,Pearl Harbor II: Pearlmageddon,2,4,2.0
human,Pierscien i róza,3,2,1.0
ai,Pierscien i róza,4,4,2.0
human,Poem 8,2,1,-0.0
ai,Poem 8,2,0,0.0
human,Porco Rosso,3,5,2.2516291673878226
ai,Porco Rosso,4,1,-0.0
human,Pots and Pans,2,4,1.9219280948873625
ai,Pots and Pans,1,3,1.584962500721156
human,Pourquoi pas!,3,4,2.0
ai,Pourquoi pas!,4,0,0.0
human,Priest,4,2,1.0
ai,Priest,1,4,2.0
human,Province 77,1,1,-0.0
ai,Province 77,5,5,2.1180782093497093
human,Reach for the Sky,0,0,0.0
ai,Reach for the Sky,3,5,2.321928094887362
human,"Ready, Willing and Able",2,3,1.584962500721156
ai,"Ready, Willing and Able",1,0,0.0
human,Red Riding Hood,2,4,2.0
ai,Red Riding Hood,4,2,1.0
human,Resan till Melonia,2,4,1.9219280948873625
ai,Resan till Melonia,3,2,1.0
human,Richard Pryor: Live on the Sunset Strip,0,0,0.0
ai,Richard Pryor: Live on the Sunset Strip,0,0,0.0
human,Ring of Terror,5,2,1.0
ai,Ring of Terror,5,2,1.0
human,Roger & Me,10,6,2.355388542207534
ai,Roger & Me,4,2,0.9182958340544896
human,Rush,1,0,0.0
ai,Rush,2,3,1.584962500721156
human,Safe House,4,1,-0.0
ai,Safe House,5,7,2.6464393446710157
human,Savage Honeymoon,0,0,0.0
ai,Savage Honeymoon,1,3,1.584962500721156
human,Screenplay: The Black and Blue Lamp,2,4,2.0
