side,movie_title,share_shaver_leaf,share_colloquial,mean_zipf
ai,Poem 8,0.0,1.0,4.445
human,Porco Rosso,0.25,0.0,4.1425
ai,Porco Rosso,0.2,0.2,4.590000000000001
human,Pots and Pans,0.0,0.0,4.065
ai,Pots and Pans,0.0,0.0,4.52
human,Pourquoi pas!,0.0,0.3333333333333333,5.156666666666667
ai,Pourquoi pas!,0.4,0.4,4.369999999999999
human,Priest,0.25,0.0,4.435
ai,Priest,0.0,0.0,5.53
human,Province 77,0.0,0.0,3.84
ai,Province 77,0.2,0.0,4.096
human,Reach for the Sky,,,
ai,Reach for the Sky,0.0,0.0,4.703333333333334
human,"Ready, Willing and Able",0.0,0.0,4.49
ai,"Ready, Willing and Able",0.0,1.0,4.29
human,Red Riding Hood,0.0,0.0,4.625
ai,Red Riding Hood,0.0,0.75,4.5275
human,Resan till Melonia,0.0,0.0,4.223333333333334
ai,Resan till Melonia,0.0,0.3333333333333333,4.396666666666667
human,Richard Pryor: Live on the Sunset Strip,,,
ai,Richard Pryor: Live on the Sunset Strip,,,
human,Ring of Terror,0.2,0.2,4.522
ai,Ring of Terror,0.4285714285714285,0.1428571428571428,4.369999999999999
human,Roger & Me,0.25,0.0833333333333333,4.321666666666666
ai,Roger & Me,0.0,0.25,4.7025
human,Rush,0.0,0.0,5.82
ai,Rush,0.0,0.5,3.98
human,Safe House,0.0,0.25,4.890000000000001
ai,Safe House,0.0,0.2,4.862
human,Savage Honeymoon,,,
ai,Savage Honeymoon,0.0,0.0,4.43
human,Screenplay: The Black and Blue Lamp,0.6666666666666666,0.0,4.816666666666666
ai,Screenplay: The Black and Blue Lamp,0.0,0.0,4.545
human,Season for Assassins,0.0,0.0,4.77
ai,Season for Assassins,0.0,0.25,4.359999999999999
human,Secret Agent X-9,0.3333333333333333,0.0,4.756666666666667
ai,Secret Agent X-9,0.0,0.0,5.0
human,Shamus,0.0,0.0,5.215
ai,Shamus,0.0,1.0,4.45
human,Shankara,0.125,0.125,4.79375
ai,Shankara,,,
human,Shantytown,,,
ai,Shantytown,0.0,0.0,5.025
human,Shock Corridor,0.0,0.0,5.04
ai,Shock Corridor,0.3333333333333333,0.3333333333333333,4.766666666666667
human,Shoulder Arms,0.6666666666666666,0.0,4.453333333333333
ai,Shoulder Arms,0.1666666666666666,0.3333333333333333,4.258333333333334
human,Shu jian en chou lu,1.0,0.0,4.37
ai,Shu jian en chou lu,0.0,1.0,4.45
human,Sister Emanuelle,0.0,0.0,5.82
ai,Sister Emanuelle,0.0,0.0,4.95
human,Skies Above,0.0,0.0,4.16
ai,Skies Above,0.1666666666666666,0.5,4.495
human,So Glad I Made It,0.2,0.0,4.516
ai,So Glad I Made It,0.0,0.3333333333333333,4.6433333333333335
human,Sorority Babes in the Slimeball Bowl-O-Rama,0.0,0.25,4.6275
ai,Sorority Babes in the Slimeball Bowl-O-Rama,0.0,0.5,4.2475
human,Spider,0.3333333333333333,0.3333333333333333,3.823333333333333
ai,Spider,0.3333333333333333,0.3333333333333333,4.373333333333334
human,Stan Kann: The Happiest Man in the World,0.0,0.0,4.782000000000001
ai,Stan Kann: The Happiest Man in the World,0.2,0.2,4.426
human,Stardom,0.0,0.0,3.8
ai,Stardom,,,
human,Stepmom,0.0,0.4,5.046
ai,Stepmom,0.5,0.0,3.745
human,Stick,0.2,0.0,5.212000000000001
ai,Stick,0.0,0.5,5.375
human,Stille Nacht,0.0,0.0,5.53
ai,Stille Nacht,0.1666666666666666,0.5,4.44
human,Stone Cold,,,
ai,Stone Cold,,,
human,Sunshine,0.0,1.0,4.84
ai,Sunshine,0.0,0.0,4.65
human,Swashbuckler,,,
ai,Swashbuckler,0.0,0.3333333333333333,4.306666666666668
human,Tengoku no honya - koibi,0.1111111111111111,0.0,5.096666666666667
ai,Tengoku no honya - koibi,0.1428571428571428,0.2857142857142857,4.335714285714286
human,Tere Naam,0.0,0.0,4.535
ai,Tere Naam,0.0,0.1666666666666666,4.638333333333334
human,"Texas, Brooklyn & Heaven",0.0,0.0,5.53
ai,"Texas, Brooklyn & Heaven",0.0,0.0,4.303333333333334
human,The Arrangement,0.0,0.0,5.53
ai,The Arrangement,0.0,1.0,4.44
human,The Biggest Fan,0.25,0.0,4.735
ai,The Biggest Fan,0.0,0.5,4.985
human,The Bitter Tea of General Yen,0.25,0.0,4.2725
ai,The Bitter Tea of General Yen,0.25,0.0,4.545
human,The Blade Master,0.5,0.0,4.855
ai,The Blade Master,0.0,1.0,5.22
human,The Blue Max,0.0,0.25,4.92
ai,The Blue Max,0.0,0.0,4.68
human,The Boa Friend,0.0,0.0,5.82
ai,The Boa Friend,0.5,0.0,5.24
human,The Boys Next Door,0.0,0.3333333333333333,4.3100000000000005
ai,The Boys Next Door,0.0,0.0,4.535
human,The Cement Garden,0.0,0.0,5.11
ai,The Cement Garden,0.2,0.0,4.302
